[2026-07-01T19:27:28+0000] [PACMAN] synchronizing package lists
[2026-07-01T19:27:59+0000] [ALPM] transaction started
[2026-07-01T19:27:59+0000] [ALPM] installed angelscript (2.28.2-7)
[2026-07-01T19:27:59+0000] [ALPM] installed argtable2 (13-9)
[2026-07-01T19:27:59+0000] [ALPM] installed box2d (3.1.1-2)
[2026-07-01T19:27:59+0000] [ALPM] installed bullet3 (3.2.5-3)
[2026-07-01T19:27:59+0000] [ALPM] installed bzip2 (1.0.8-7)
[2026-07-01T19:27:59+0000] [ALPM] installed cereal (1.3.2-2)
[2026-07-01T19:27:59+0000] [ALPM] installed cjson (1.7.16-6)
[2026-07-01T19:27:59+0000] [ALPM] installed zlib (1.3.1-8)
[2026-07-01T19:27:59+0000] [ALPM] installed mbedtls (2.28.10-2)
[2026-07-01T19:27:59+0000] [ALPM] installed curl (7.64.1-13)
[2026-07-01T19:27:59+0000] [ALPM] installed dbglogger (20240817-3)
[2026-07-01T19:27:59+0000] [ALPM] installed dumb (2.0.3-7)
[2026-07-01T19:27:59+0000] [ALPM] installed enet (1.3.18-5)
[2026-07-01T19:27:59+0000] [ALPM] installed expat (2.7.1-3)
[2026-07-01T19:27:59+0000] [ALPM] installed libpspvram (r11.885fd3f-6)
[2026-07-01T19:27:59+0000] [ALPM] installed pspgl (r12-7)
[2026-07-01T19:27:59+0000] [ALPM] installed sdl2 (2.32.10-2)
[2026-07-01T19:27:59+0000] [ALPM] installed faudio (26.06-1)
[2026-07-01T19:27:59+0000] [ALPM] installed libogg (1.3.6-2)
[2026-07-01T19:27:59+0000] [ALPM] installed flac (1.5.0-3)
[2026-07-01T19:27:59+0000] [ALPM] installed flatbuffers (24.3.25-4)
[2026-07-01T19:27:59+0000] [ALPM] installed fmt (12.1.0-2)
[2026-07-01T19:27:59+0000] [ALPM] installed libpng (1.6.53-2)
[2026-07-01T19:27:59+0000] [ALPM] installed freetype2 (2.11.0-10)
[2026-07-01T19:27:59+0000] [ALPM] installed giflib (5.2.2-3)
[2026-07-01T19:27:59+0000] [ALPM] installed glm (0.9.9-4)
[2026-07-01T19:27:59+0000] [ALPM] installed googletest (1.14.0-4)
[2026-07-01T19:27:59+0000] [ALPM] installed harfbuzz (8.5.0-5)
[2026-07-01T19:27:59+0000] [ALPM] installed imgui (1.92.5-2)
[2026-07-01T19:27:59+0000] [ALPM] installed jpeg (3.1.3-2)
[2026-07-01T19:27:59+0000] [ALPM] installed jsoncpp (1.9.8-4)
[2026-07-01T19:27:59+0000] [ALPM] installed leptonica (1.84.1-6)
[2026-07-01T19:27:59+0000] [ALPM] installed libbulletml (0.0.5-6)
[2026-07-01T19:27:59+0000] [ALPM] installed libconfuse (3.3-6)
[2026-07-01T19:27:59+0000] [ALPM] installed libeigen (3.4.0-5)
[2026-07-01T19:27:59+0000] [ALPM] installed libintrafont (4.1-3)
[2026-07-01T19:27:59+0000] [ALPM] installed liblzma (5.2.10-4)
[2026-07-01T19:27:59+0000] [ALPM] installed libmad (0.15.1-7)
[2026-07-01T19:27:59+0000] [ALPM] installed libmecore (2.0.1-2)
[2026-07-01T19:27:59+0000] [ALPM] installed libmikmod (3.3.11.1-11)
[2026-07-01T19:27:59+0000] [ALPM] installed libmodplug (0.8.8.5-7)
[2026-07-01T19:27:59+0000] [ALPM] installed libpspav (r15-2)
[2026-07-01T19:27:59+0000] [ALPM] installed libpspftp (r12-7)
[2026-07-01T19:27:59+0000] [ALPM] warning: directory permissions differ on /home/runner/work/pspdev/pspdev/pspdev/psp/sdk/include/, filesystem: 755  package: 775
[2026-07-01T19:27:59+0000] [ALPM] warning: directory permissions differ on /home/runner/work/pspdev/pspdev/pspdev/psp/sdk/lib/, filesystem: 755  package: 775
[2026-07-01T19:27:59+0000] [ALPM] installed libpspmath (r4.eb44107-3)
[2026-07-01T19:27:59+0000] [ALPM] installed libun7zip (19.00-7)
